symbol,clock,band,n,ic_absr_1bar,ic_park_1bar,ic_gk_1bar,ic_rv20_cc20,ic_park20,ic_gk20,ic_absr20,ic_ewma
MATICUSDT,H4,DESIGN,3280,0.20272614534989,0.30794205625974685,0.302978350514431,0.31929007385601305,0.3300499694761744,0.32651090400516125,0.3261284434336101,0.3296789144094478
MATICUSDT,H4,CONFIRM,1739,0.16146819319025724,0.2655100800688932,0.26893118355536083,0.2413916816615576,0.2706369668559796,0.2712102078614659,0.257412915401869,0.2742476571589925
MATICUSDT,D1,DESIGN,545,0.13046209785700016,0.2216728333458466,0.23874438813662918,0.20333358352167305,0.22732106186021855,0.23165349902722263,0.2118451859954026,0.19204831044110388
MATICUSDT,D1,CONFIRM,283,0.12277378276122414,0.2100842783185845,0.20603925787640662,0.20262375697686608,0.16842149886844626,0.15966190348857684,0.18709963542447935,0.15008825980467422
INJUSDT,H1,DESIGN,2019,0.10342122818108114,0.19664518759397767,0.20496646737585672,0.20483647120425724,0.19301076252591515,0.18728393623327638,0.20579576972537025,0.2176063607831833
INJUSDT,H1,CONFIRM,6931,0.19284395039381855,0.322143280656097,0.3227946855182428,0.3231598028048795,0.34165111232483947,0.34096192757795113,0.32576907805503624,0.33751586368123176
INJUSDT,H4,DESIGN,488,0.08089922005633457,0.07352820455737379,0.06361558953878954,0.1406120709714817,0.12998859629771417,0.1314818897959288,0.09369787104330313,0.15707335493387042
INJUSDT,H4,CONFIRM,1733,0.1924400060493204,0.3243518598421223,0.32617061859942587,0.35568835204075605,0.3799845145327736,0.3821502221607973,0.3589732218209745,0.3673417890089671
INJUSDT,D1,CONFIRM,286,0.1211371427032531,0.26838245195112975,0.2656247475246191,0.3154778469284246,0.3141729890717066,0.3201925659360543,0.28115105809131247,0.32112457503985103
SEIUSDT,H1,CONFIRM,1431,0.20589474363476834,0.323661625237987,0.3192542690967166,0.2752610166110515,0.30267806016541987,0.30012386182985124,0.2854619305573572,0.3129740458140714
SEIUSDT,H4,CONFIRM,355,0.17275555829741351,0.24585310376829633,0.2320864436284437,0.2597447568672366,0.2759251643436063,0.2721681967441301,0.26151164482800077,0.2737541608439439
BNBUSDT,H1,DESIGN,3880,0.20301880670688519,0.325380274111142,0.32327624949925393,0.3029000405026416,0.313069656038092,0.3082522897428026,0.30445699983153046,0.31663358044747997
BNBUSDT,H1,CONFIRM,6453,0.1667687081941339,0.2987646444271938,0.3028381792924667,0.3048501695745733,0.32401772256735584,0.3215348530857131,0.3141781800662425,0.3090976797223876
BNBUSDT,H4,DESIGN,977,0.19869719711201358,0.30991579392178453,0.3072915238498173,0.2857754639769221,0.3015784207815721,0.29768794137827576,0.2976003519359174,0.30137341439395327
BNBUSDT,H4,CONFIRM,1634,0.1824790890268873,0.27741988796248823,0.28031827572902196,0.2614792444911823,0.27175805830876426,0.2697626890673158,0.2678694063116693,0.28199224115621535
BNBUSDT,D1,DESIGN,166,0.19920771818903268,0.25009214867089485,0.2464271894327446,-0.02022548550216107,0.016822945394373966,0.04182124534375024,0.002032504967925712,0.06421024325937393
BNBUSDT,D1,CONFIRM,265,0.11194146426707881,0.18772140075363078,0.16820637621274565,0.08213159897974318,0.10894058072302278,0.11083247283277685,0.0856848979934083,0.12240747314496349
WLDUSDT,H1,CONFIRM,2055,0.07133116297263072,0.21745280784814777,0.2361209918847837,0.22199690396127467,0.2545216400061989,0.2526171332956066,0.23324930848556186,0.24031669860176094
WLDUSDT,H4,CONFIRM,514,0.09840343491834894,0.24267777721876804,0.24969241907366654,0.2138590284668438,0.2565200370543105,0.26102914122845905,0.21644437132888325,0.23782430537433447
DYDXUSDT,H1,DESIGN,2466,0.13175381203320843,0.18052150721258697,0.18083580425079487,0.20787908548405348,0.1984677760522675,0.1927402164740661,0.21470795817723154,0.20507937397370943
DYDXUSDT,H1,CONFIRM,6351,0.1578078119857143,0.2952006496099242,0.30281978520289154,0.27947605477440973,0.3085873237615324,0.3090303922227665,0.2867887284358798,0.2972942915491484
DYDXUSDT,H4,DESIGN,603,-0.020154362235294723,0.08796912780980254,0.08680370780802198,0.07378059459903681,0.11418289234810128,0.10815509182269337,0.095472467788832,0.08715834061957367
DYDXUSDT,H4,CONFIRM,1605,0.12874002479459734,0.23052716720968403,0.23174168660556743,0.284305412645929,0.3109800054867883,0.31241603726280337,0.29390896230403507,0.29449503650919967
DYDXUSDT,D1,CONFIRM,265,0.17722632759423354,0.33604030488533715,0.3514547518023189,0.20537729400688687,0.20389260473617707,0.2119583332493657,0.1350654846712063,0.23902810198738705
GALAUSDT,H1,DESIGN,3350,0.15553576919770204,0.27475995226594757,0.2753308104768934,0.2821067767714041,0.29275054953081,0.2888568445523654,0.2878843404279074,0.29565654551207987
GALAUSDT,H1,CONFIRM,6827,0.16826916601452072,0.29362676254215525,0.29773174752186304,0.2948759000910675,0.3145621998699398,0.31293256435496475,0.3007326944020094,0.3053430473074302
GALAUSDT,H4,DESIGN,840,0.11608702034139542,0.23690933299046044,0.23682021802715858,0.264676180543782,0.27562089074445484,0.2730852390584653,0.2611882787244035,0.26363141453842653
GALAUSDT,H4,CONFIRM,1715,0.15082373167608346,0.26933668807101785,0.2752435405128943,0.2511179801170422,0.27275476506228913,0.2708355264827647,0.26148095215009814,0.2699944847748296
GALAUSDT,D1,DESIGN,145,0.1023893874980318,0.24574870099196972,0.25845929774838605,0.12898756101401354,0.1328503937007874,0.1479865016872891,0.11072515935508064,0.1889348134152102
GALAUSDT,D1,CONFIRM,286,0.17485903057148242,0.2888690627561247,0.29456115130056076,0.1764281931162547,0.15905225078460025,0.1657766754636045,0.12754404037933167,0.23306783075717605
OPUSDT,H1,DESIGN,3929,0.18169816502993583,0.2979397872403632,0.2949442963277426,0.3158975454716724,0.32719917795107484,0.32422042210158414,0.3218555223304338,0.3330333855279202
OPUSDT,H1,CONFIRM,6986,0.16660696200426264,0.2999047025955143,0.3040865037425801,0.27933872461365367,0.2991939097533544,0.2976482152555376,0.2845512595205424,0.2932229999604015
OPUSDT,H4,DESIGN,984,0.1693225579172686,0.27918427926076933,0.2838234697894966,0.26827178636930066,0.3060243311683572,0.30704414900514876,0.2826675048126214,0.2771927388653949
OPUSDT,H4,CONFIRM,1746,0.14214151624757912,0.26134023308549015,0.2586003648861289,0.23647697520415709,0.25277686793661464,0.25052519714452404,0.24686135978185195,0.2597803231003619
OPUSDT,D1,DESIGN,160,0.10268076878003046,0.1773936481893824,0.18986874487284658,0.07494726356498302,0.13727899310758163,0.1581317693394409,0.09311614367053382,0.09653697410055082
OPUSDT,D1,CONFIRM,288,0.055919426594167085,0.18593039798415784,0.2116699621024881,0.1686313693339603,0.10420635360989351,0.10623216014105431,0.06737625379915786,0.18220796209445045
