symbol,clock,band,n,frac_high_markov,frac_high_hmm,agreement,markov_high_rv20pct,hmm_high_rv20pct,markov_high_absrpct,hmm_high_absrpct,markov_high_parkpct,hmm_high_parkpct,auc_rv20_for_markov,auc_rv20_for_hmm,auc_absr_for_markov,auc_absr_for_hmm,mean_runlen_markov_high,mean_runlen_markov_low,mean_runlen_hmm_high,mean_runlen_hmm_low,gap_markov,gap_hmm,medgap_markov,medgap_hmm,mean_y,ic_markov_state,ic_hmm_state,y_HH,y_HL,y_LH,y_LL,n_HH,n_HL,n_LH,n_LL
1000LUNCUSDT,H1,CONFIRM,3662,0.4666848716548334,0.1056799563080284,0.5909339158929546,0.6768454281458491,0.8109447259867032,0.565002593331989,0.9345872900957807,0.5836282456196977,0.8953297854775,0.831340480220225,0.8475357516223839,0.6216280065446717,0.9857889026964121,16.432692307692307,18.778846153846153,1.9545454545454546,16.457286432160803,29.03325747946141,108.57605361317707,16.723359594860156,62.45583542909604,89.71144271629916,0.12589246229558226,0.22481621769006735,184.84330281235646,88.30542637333647,193.50630183707332,70.62517422955823,299,1410,88,1865
1000LUNCUSDT,H4,DESIGN,251,0.3944223107569721,0.00796812749003984,0.6135458167330677,0.7500905469032959,0.9322709163346614,0.5812306330234617,0.9960159362549801,0.6011308302144955,0.9940239043824701,0.909688995215311,0.9337349397590361,0.6308479532163743,0.9979919678714859,12.375,19.0,2.0,124.5,21.829526965739205,215.741796089986,3.655827055536463,251.45479918475326,144.52028152670928,0.06283561422899069,0.05751622258415023,NaN,153.5994825505574,NaN,135.91022905815078,2,97,0,152
1000LUNCUSDT,H4,CONFIRM,856,0.45210280373831774,0.0689252336448598,0.602803738317757,0.6806098915694656,0.8466953112624742,0.5805123886111715,0.9605377791858071,0.6146278586780651,0.9148384286393157,0.8285758362120736,0.8717329817323437,0.645881886249814,0.9940029347340663,14.884615384615385,18.03846153846154,1.475,19.4390243902439,88.1442582865181,180.19774339653569,45.800405963857244,134.67884919097673,186.15620699737713,0.18854017519711225,0.1437083083695212,357.9751341113662,214.84893681742312,NaN,144.0779165051441,53,334,6,463
1000LUNCUSDT,D1,CONFIRM,174,0.5114942528735632,0.14367816091954022,0.5747126436781609,0.7444788841534288,0.7643678160919539,0.5603771148133798,0.9273563218390803,0.5757458349476947,0.893793103448276,0.994580304031725,0.8053691275167785,0.617713152676801,0.9957046979865772,17.8,17.0,1.7857142857142858,9.933333333333334,91.14833403537455,389.91086989384024,3.5246230927232887,173.59040614854607,422.91507093390595,0.05402021784732676,0.21056292383562034,842.0215198173621,358.86765338128066,NaN,373.8155957027467,20,69,5,80
MATICUSDT,H1,DESIGN,7852,0.48522669383596534,0.18008150789607744,0.6105450840550178,0.6383391963931151,0.8324551407545965,0.5565333672949567,0.777741875690371,0.5753479562189215,0.8414682409584382,0.7686143914098813,0.9053957386152675,0.6096981692231569,0.838665611668343,18.861386138613863,20.00990099009901,4.590909090909091,20.9025974025974,20.599611084797488,71.2229629498116,11.313616133203368,49.11773066684444,75.73333633854817,0.11275970652929829,0.2616338769134768,137.95028700744405,65.83996536646129,121.63193122057797,60.75242288139779,1083,2727,331,3711
MATICUSDT,H1,CONFIRM,6961,0.48944117224536704,0.07987358138198535,0.568309150984054,0.6602769499421216,0.8823739456933233,0.561653953868606,0.8361200997541286,0.5847600664307456,0.8989254365793387,0.8137838628438686,0.9154886863343049,0.6206170998535075,0.865219674377594,17.382653061224488,18.132653061224488,3.0217391304347827,34.62162162162162,12.929844129238951,44.25008496641109,9.52075664574059,33.1700568662374,50.25458420115334,0.1282091408986215,0.1790128932971614,92.12072847582105,51.086976149431585,83.81342365159448,43.04286220811092,479,2928,77,3477
MATICUSDT,H4,DESIGN,1968,0.4842479674796748,0.21747967479674796,0.6011178861788617,0.6097550311809519,0.8187756439480283,0.5493941895085268,0.7572135476027657,0.5564133694196334,0.8223384906162146,0.7123132033143974,0.9070457579803374,0.5952785861603751,0.8283741958975603,15.370967741935484,16.11111111111111,4.7555555555555555,16.923076923076923,23.104290671742774,119.79589408081898,13.136570238487792,84.61813306911367,152.12033585545495,0.06946009485902759,0.25340338756226055,254.74361576585156,122.76810909441771,225.50608662616546,128.50883700233496,298,655,130,885
MATICUSDT,H4,CONFIRM,1739,0.45313398504887864,0.10580793559516964,0.6239217941345601,0.6678425374288858,0.8605614171062832,0.5653206668165087,0.7822899217441308,0.5894856137052918,0.8518638897917342,0.8063913486738512,0.9029043757863834,0.6189197051460659,0.8153711729344331,18.761904761904763,22.11627906976744,3.2280701754385963,26.810344827586206,32.90516568045301,64.16669510909828,19.87317962378888,40.581656338737886,101.49955145660226,0.12969987596620922,0.13611450083990043,164.72244882339393,108.06138957796476,121.69921700691691,85.64120534600318,159,629,25,926
MATICUSDT,D1,DESIGN,327,0.4801223241590214,0.23547400611620795,0.7003058103975535,0.7064999318257076,0.7443107351364232,0.5844289916048228,0.7715159458278725,0.6413253082451936,0.8276341395607452,0.8942675159235669,0.8175584415584416,0.6594604720869239,0.8531428571428571,17.444444444444443,18.88888888888889,4.052631578947368,12.5,170.17792913559344,306.57382796996774,107.7742291278083,181.91003342730937,428.18844763742885,0.1820174660831933,0.2594877412818396,704.6038075791014,373.0627556113818,NaN,346.5651229771854,68,89,9,161
MATICUSDT,D1,CONFIRM,283,0.4664310954063604,0.024734982332155476,0.558303886925795,0.6780704572224007,0.8758202927814235,0.5966912945711531,0.7506309944472489,0.6216404325944962,0.8455325593134779,0.8304234396949629,0.8835403726708074,0.6779048765803732,0.755175983436853,13.2,13.727272727272727,2.3333333333333335,69.0,94.36896633975832,-8.262959636471777,87.344045753181,-16.927681754365665,260.9703560319529,0.192392776348089,0.012253383168220815,NaN,314.5937136320017,NaN,216.95373568973352,7,125,0,151
