key,point,n_grid,env_low,env_high,min_low,max_low,min_high,max_high,sign_low_agree,sign_high_agree,n_cells_low_gt0,low_b1,low_b3,low_b7,arm,symbol,clock,band,metric,model,target
V-MEASURE|DYDXUSDT|H4|DESIGN|oos_ic|ridge_gk|rv_next,0.2985715116882089,15,0.1452521633403026,0.4090912006412676,0.1452521633403026,0.18294168976003922,0.39294764389480574,0.4090912006412676,true,true,15,0.18021128854738022,0.16326682790633631,0.1452521633403026,V-MEASURE,DYDXUSDT,H4,DESIGN,oos_ic,ridge_gk,rv_next
V-MEASURE|DYDXUSDT|H4|DESIGN|dmae_vs_uncond|ridge_gk|rv_next,0.0010329287193238108,15,0.0003817964648264393,0.001731086318533631,0.0003817964648264393,0.0005108362688244037,0.0015425055188017854,0.001731086318533631,true,true,15,0.0004926147940148677,0.00044674335274076963,0.0003817964648264393,V-MEASURE,DYDXUSDT,H4,DESIGN,dmae_vs_uncond,ridge_gk,rv_next
V-TAIL|DYDXUSDT|H4|DESIGN|exceed_diff_p90||,0.02933732933732934,15,-0.030870200011132325,0.0851383142082649,-0.030870200011132325,-0.022754926914404925,0.07804880399803696,0.0851383142082649,true,true,0,-0.02459755178077467,-0.025484143468441738,-0.030870200011132325,V-TAIL,DYDXUSDT,H4,DESIGN,exceed_diff_p90,"",""
V-TAIL|DYDXUSDT|H4|DESIGN|exceed_diff_p95||,0.03323343323343324,15,-0.00353516557593989,0.07178607737576344,-0.00353516557593989,-0.00022488391963904045,0.0622957051639683,0.07178607737576344,true,true,0,-0.00353516557593989,-0.0011992769953667766,-0.0011438490241980515,V-TAIL,DYDXUSDT,H4,DESIGN,exceed_diff_p95,"",""
V-PERSIST|DYDXUSDT|H4|CONFIRM|ic_lag1_rv20_vs_target||,0.2843054126459293,15,0.20131200010287797,0.3521525493150344,0.20131200010287797,0.23367473227812446,0.33167729438796323,0.3521525493150344,true,true,15,0.2326450634235431,0.2174922334234313,0.20131200010287797,V-PERSIST,DYDXUSDT,H4,CONFIRM,ic_lag1_rv20_vs_target,"",""
V-PERSIST|DYDXUSDT|H4|CONFIRM|ic_rv20_vs_rv_next||,0.9826062165032943,15,0.9745006261549651,0.987815793399742,0.9745006261549651,0.9778293438228137,0.9866468280363015,0.987815793399742,true,true,15,0.9775577395223872,0.9762927871309133,0.9745006261549651,V-PERSIST,DYDXUSDT,H4,CONFIRM,ic_rv20_vs_rv_next,"",""
V-PERSIST|DYDXUSDT|H4|CONFIRM|ic_abs_r_lag1_persist||,0.13962747061179265,15,0.0779893087902701,0.19584061260569696,0.0779893087902701,0.09307812320662708,0.18560361287271251,0.19584061260569696,true,true,15,0.09058692777422729,0.08404473411486317,0.0779893087902701,V-PERSIST,DYDXUSDT,H4,CONFIRM,ic_abs_r_lag1_persist,"",""
V-PERSIST|DYDXUSDT|H4|CONFIRM|oos_ic|har_ridge|target_abs_oo,0.2902052866247625,15,0.20816179787453307,0.35735478619268674,0.20816179787453307,0.2398447598016691,0.33781318583262454,0.35735478619268674,true,true,15,0.23802925490895302,0.22340171133923978,0.20816179787453307,V-PERSIST,DYDXUSDT,H4,CONFIRM,oos_ic,har_ridge,target_abs_oo
V-PERSIST|DYDXUSDT|H4|CONFIRM|dmae_vs_uncond|har_ridge|target_abs_oo,34.661156749807674,15,27.620257555422306,41.90539464623496,27.620257555422306,31.487213439925167,37.88459813809221,41.90539464623496,true,true,15,31.34150444291276,29.66470618815362,27.620257555422306,V-PERSIST,DYDXUSDT,H4,CONFIRM,dmae_vs_uncond,har_ridge,target_abs_oo
V-PERSIST|DYDXUSDT|H4|CONFIRM|oos_ic|har_ols|target_abs_oo,0.2902849197156376,15,0.20836308933435485,0.3574674063895704,0.20836308933435485,0.23997370282696967,0.3378454456205897,0.3574674063895704,true,true,15,0.23804955913765732,0.22348556615709522,0.20836308933435485,V-PERSIST,DYDXUSDT,H4,CONFIRM,oos_ic,har_ols,target_abs_oo
V-PERSIST|DYDXUSDT|H4|CONFIRM|dmae_vs_uncond|har_ols|target_abs_oo,34.70085495173894,15,27.655432694850447,41.953053651476054,27.655432694850447,31.522725939865687,37.92800750617396,41.953053651476054,true,true,15,31.374546879748365,29.695063300867314,27.655432694850447,V-PERSIST,DYDXUSDT,H4,CONFIRM,dmae_vs_uncond,har_ols,target_abs_oo
V-PERSIST|DYDXUSDT|H4|CONFIRM|oos_ic|har_ridge|rv_next,0.9824456677001414,15,0.9743006217812376,0.9876661277621395,0.9743006217812376,0.9776595369633687,0.986481711597683,0.9876661277621395,true,true,15,0.9773892522029587,0.976086098835047,0.9743006217812376,V-PERSIST,DYDXUSDT,H4,CONFIRM,oos_ic,har_ridge,rv_next
V-PERSIST|DYDXUSDT|H4|CONFIRM|dmae_vs_uncond|har_ridge|rv_next,0.014683111885200861,15,0.0129517716401255,0.016441581472028618,0.0129517716401255,0.013929831523382091,0.0154138780090423,0.016441581472028618,true,true,15,0.013902247671986539,0.013430561912366332,0.0129517716401255,V-PERSIST,DYDXUSDT,H4,CONFIRM,dmae_vs_uncond,har_ridge,rv_next
V-PERSIST|DYDXUSDT|H4|CONFIRM|oos_ic|har_ols|rv_next,0.9825110267011212,15,0.9743873918871315,0.9877252043836531,0.9743873918871315,0.9777098694697929,0.9865323047612711,0.9877252043836531,true,true,15,0.9774800436099033,0.9761876432139595,0.9743873918871315,V-PERSIST,DYDXUSDT,H4,CONFIRM,oos_ic,har_ols,rv_next
V-PERSIST|DYDXUSDT|H4|CONFIRM|dmae_vs_uncond|har_ols|rv_next,0.014698745193726565,15,0.01296574637386271,0.016459134852938175,0.01296574637386271,0.01394465510158578,0.015430537836605158,0.016459134852938175,true,true,15,0.013917980751980785,0.013444023798623339,0.01296574637386271,V-PERSIST,DYDXUSDT,H4,CONFIRM,dmae_vs_uncond,har_ols,rv_next
V-LEVEL|DYDXUSDT|H4|CONFIRM|oos_ic|ridge|target_abs_oo,0.30120170308997224,15,0.21902280608946606,0.36803071790425734,0.21902280608946606,0.25073484511711874,0.34787575772253265,0.36803071790425734,true,true,15,0.24940673599631952,0.2348125409032329,0.21902280608946606,V-LEVEL,DYDXUSDT,H4,CONFIRM,oos_ic,ridge,target_abs_oo
